id,email_normalized,message_bounce,name,complete_name,lang,tz,comment,active,type,street,street2,city,country_id/id,partner_latitude,partner_longitude,email,phone,mobile,company_id/id,color,partner_share,commercial_company_name,company_name,contact_address_complete,signup_type,calendar_last_notif_ack,team_id/id,partner_gid,ocn_token,debit_limit,invoice_warn,supplier_rank,customer_rank,picking_warn,purchase_warn,sale_warn,followup_reminder_type,x_studio_vat_registration_status,x_studio_svat_registration_status,x_studio_bank_guarantee_amount,x_studio_payment_method
res_partner_cell_05,cell05@jinasena.com.lk,0,Cell 05,Cell 05,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,cell05@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,b8cdfc8cc66e468eba4c567f9cf5a831,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_engineer_production,productionengineer@jinasena.com.lk,0,Engineer - Production,Engineer - Production,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,productionengineer@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,,0.0,no-message,1,2,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,Cash
res_partner_inventory_view_only,inventoryviewonly@jinasena.com.lk,0,Inventory View Only,Inventory View Only,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,inventoryviewonly@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,398034e2f8b44c198681f70f8f0bbe64,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_test_finance_user_po_invoicing_payment_i,po_inv@jinasena.com.lk,6,#$ Test Finance User - PO Invoicing & Payment - Inv - Cr,"Jinasena (Pvt) Ltd, #$ Test Finance User - PO Invoicing & Payment - Inv - Cr",en_US,Asia/Colombo,<p><br></p>,1,contact,,,,,0.0,0.0,PO_Inv@jinasena.com.lk,0111212354,2581452336,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,Jinasena (Pvt) Ltd,Jinasena (Pvt) Ltd,,reset,2023-12-13 06:26:38,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_id_6625,,0,,"Jinasena Agricultural Machinery (Pvt) Ltd., Other Address",en_US,Asia/Colombo,,1,other,"No 186,",Elvitigala Mw,Colombo 08,,0.0,0.0,,0740600216,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,0,1,Jinasena Agricultural Machinery (Pvt) Ltd.,,"No 186,, Elvitigala Mw, Colombo 08",,2025-12-02 11:17:35,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_id_6624,,0,,"Jinasena Agricultural Machinery (Pvt) Ltd., Other Address",en_US,Asia/Colombo,,1,other,"Ekala,",,Ja-Ela,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,0,1,Jinasena Agricultural Machinery (Pvt) Ltd.,,"Ekala,, Ja-Ela",,2025-12-02 11:17:35,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_id_7448,,0,,"KURUNEGALA CASH CUSTOMER, Other Address",en_US,Asia/Colombo,,1,other,KURUNEGALA,,,base.lk,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,0,1,,,"KURUNEGALA, Sri Lanka",,2026-07-28 10:33:46,Jinasena_MasterData_Common.crm_team_kurunegala_sales_centre_560,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_mo_creator,mocreator@jinasena.com.lk,0,MO Creator,MO Creator,en_US,Asia/Colombo,,1,contact,,,,,0.0,0.0,mocreator@jinasena.com.lk,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,3,1,,,,,2021-03-18 05:56:13,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_no_contract_emp_e2e_1774858544719_388,,0,No Contract Emp [E2E-1774858544719-388],No Contract Emp [E2E-1774858544719-388],en_US,,,1,contact,,,,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-03-30 08:16:09,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
res_partner_no_contract_emp_e2e_1774859271812_944,,0,No Contract Emp [E2E-1774859271812-944],No Contract Emp [E2E-1774859271812-944],en_US,,,1,contact,,,,,0.0,0.0,,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,0,1,,,,,2026-03-30 08:29:55,,0,,0.0,no-message,0,0,no-message,no-message,no-message,automatic,VAT Not Registered,SVAT Nor Registered,0.0,
